import importar_libreria
' comilla_simple
dart inicio_libreria
: dos_puntos
; fin_linea
void metodo_sin_parametros
main principal
( parentesis_abierto
) parentesis_cerrado
{ llave_abierto
} llave_cerrado
[ corchete_cierra
] corchete_abre
print imprimir
for condicion_para
while condicion_mientras
if condicion_si
else condicion_sino
, coma
== comparacion_igual
> mayor_que
< menor_que
>= comparacion_mayor_igual
<= comparacion_menor_igual
class clase
true booleano_verdadero
false booleano_falso
= aritmetico_igual
+ aritmetico_suma
- aritmetico_resta
* aritmetico_multiplicacion
/ aritmetico_division
-- decremento
++ incremento
$ llamado_variable
